,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
745,5.0,Chicago Bulls*,82,241.8,35.6,78.0,0.457,4.9,14.0,0.349,30.8,64.0,0.48,20.5,27.8,0.738,13.0,27.5,40.5,20.9,8.4,4.5,18.1,23.1,96.7
746,6.0,Charlotte Hornets*,82,241.5,37.7,83.0,0.454,5.2,15.7,0.333,32.4,67.3,0.482,16.8,22.7,0.74,13.4,28.8,42.3,23.1,6.5,4.5,14.8,22.7,97.3
747,7.0,Utah Jazz*,82,241.2,34.7,76.6,0.453,6.7,17.5,0.382,28.0,59.2,0.474,22.4,30.2,0.741,11.2,25.9,37.1,20.9,7.9,5.2,16.5,25.0,98.4
748,8.0,Sacramento Kings,82,242.1,36.1,79.9,0.453,4.6,15.1,0.304,31.5,64.7,0.487,22.4,30.2,0.741,14.0,27.7,41.6,22.2,9.2,6.3,16.4,24.8,99.2
749,9.0,Portland Trail Blazers*,82,240.3,36.0,78.8,0.456,5.4,14.5,0.372,30.6,64.3,0.476,21.9,29.0,0.754,10.8,28.0,38.8,21.8,7.8,4.9,15.9,23.6,99.2
750,10.0,Philadelphia 76ers,82,241.5,37.8,81.3,0.465,5.7,15.7,0.363,32.1,65.6,0.49,19.1,25.1,0.763,13.9,28.3,42.2,24.3,8.7,5.1,15.8,22.7,100.4
751,11.0,Denver Nuggets*,82,243.7,37.2,81.6,0.456,5.1,14.7,0.347,32.1,66.9,0.479,21.0,28.0,0.75,12.5,26.9,39.4,21.8,7.8,5.6,14.2,23.9,100.5
752,12.0,San Antonio Spurs*,82,242.1,38.6,85.0,0.454,5.2,15.3,0.341,33.4,69.8,0.479,18.2,25.5,0.714,12.4,28.1,40.5,22.9,7.7,5.0,14.4,25.2,100.6
753,13.0,New Jersey Nets,82,242.4,38.8,84.2,0.461,5.4,14.3,0.374,33.4,69.9,0.479,18.2,25.3,0.721,12.9,29.7,42.6,22.3,8.9,5.4,13.5,23.3,101.2
754,14.0,Houston Rockets*,82,240.6,39.0,86.1,0.453,6.2,16.4,0.376,32.9,69.7,0.472,17.2,22.9,0.751,14.2,29.1,43.3,23.7,9.1,4.5,15.5,21.7,101.4
755,15.0,Seattle SuperSonics*,82,241.8,36.7,80.9,0.453,6.3,18.5,0.343,30.3,62.5,0.486,22.5,30.7,0.735,13.0,26.9,39.9,22.5,8.0,6.0,18.1,24.7,102.2
756,16.0,Miami Heat,82,241.5,37.7,80.1,0.471,6.2,17.3,0.361,31.5,62.8,0.501,21.1,28.5,0.74,12.6,28.7,41.4,22.7,8.0,4.7,16.2,23.1,102.8
757,17.0,Minnesota Timberwolves,82,241.2,37.7,79.4,0.474,5.7,15.2,0.377,32.0,64.2,0.498,22.2,30.4,0.731,14.3,28.1,42.4,25.2,8.6,6.2,16.1,24.2,103.2
758,18.0,Milwaukee Bucks,82,242.1,39.6,80.4,0.493,6.0,15.1,0.395,33.6,65.2,0.516,18.5,25.4,0.729,12.4,28.5,40.9,25.6,9.4,5.0,16.6,24.1,103.7
759,19.0,Orlando Magic*,82,243.0,39.5,86.5,0.457,5.7,15.1,0.378,33.8,71.4,0.474,19.0,25.7,0.741,13.9,27.1,41.0,24.2,8.5,4.5,15.0,23.8,103.8
760,20.0,Boston Celtics*,82,241.5,40.3,83.2,0.484,4.6,12.8,0.358,35.7,70.4,0.507,19.5,27.1,0.72,13.0,28.5,41.5,24.4,8.0,5.5,15.0,23.4,104.7
761,21.0,Los Angeles Lakers*,82,242.7,40.2,86.0,0.468,5.6,15.8,0.352,34.7,70.2,0.494,19.3,27.2,0.708,15.6,30.2,45.8,26.9,7.9,6.0,17.0,22.0,105.3
